"Store","Brand","Product_Category","State","Sales"
"Deluxe Supermarket","Even Better","Drink","Canada","13218746.78"
"Deluxe Supermarket","Even Better","Drink","British Columbia","7166003.68"
"Deluxe Supermarket","Even Better","Drink","Ontario","6052743.1"
"Deluxe Supermarket","Even Better","Drink","Mexico","8244188.15"
"Deluxe Supermarket","Even Better","Drink","Sonora","1279924.87"
"Deluxe Supermarket","Even Better","Drink","Yucatan","6964263.28"
"Deluxe Supermarket","Even Better","Drink","USA","20500599.77"
"Deluxe Supermarket","Even Better","Drink","Oregon","7569937.77"
"Deluxe Supermarket","Even Better","Drink","Texas","5329676.29"
"Deluxe Supermarket","Even Better","Drink","Washington","7600985.71"
"Deluxe Supermarket","Even Better","Food","Canada","52675649.46"
"Deluxe Supermarket","Even Better","Food","British Columbia","26937982.11"
"Deluxe Supermarket","Even Better","Food","Ontario","25737667.35"
"Deluxe Supermarket","Even Better","Food","Mexico","29437061.92"
"Deluxe Supermarket","Even Better","Food","Sonora","5395603.04"
"Deluxe Supermarket","Even Better","Food","Yucatan","24041458.88"
"Deluxe Supermarket","Even Better","Food","USA","79104991.08"
"Deluxe Supermarket","Even Better","Food","Oregon","30312471.48"
"Deluxe Supermarket","Even Better","Food","Texas","18707041.04"
"Deluxe Supermarket","Even Better","Food","Washington","30085478.56"
"Deluxe Supermarket","Even Better","Health and Hygiene","Canada","17177022.52"
"Deluxe Supermarket","Even Better","Health and Hygiene","British Columbia","8004759.89"
"Deluxe Supermarket","Even Better","Health and Hygiene","Ontario","9172262.63"
"Deluxe Supermarket","Even Better","Health and Hygiene","Mexico","9438394.5"
"Deluxe Supermarket","Even Better","Health and Hygiene","Sonora","1698571.74"
"Deluxe Supermarket","Even Better","Health and Hygiene","Yucatan","7739822.76"
"Deluxe Supermarket","Even Better","Health and Hygiene","USA","24625624.67"
"Deluxe Supermarket","Even Better","Health and Hygiene","Oregon","9511066.53"
"Deluxe Supermarket","Even Better","Health and Hygiene","Texas","5569234.58"
"Deluxe Supermarket","Even Better","Health and Hygiene","Washington","9545323.56"
"Deluxe Supermarket","Even Better","Household","Canada","12655721.45"
"Deluxe Supermarket","Even Better","Household","British Columbia","6726293.09"
"Deluxe Supermarket","Even Better","Household","Ontario","5929428.36"
"Deluxe Supermarket","Even Better","Household","Mexico","8506825.82"
"Deluxe Supermarket","Even Better","Household","Sonora","1463253.05"
"Deluxe Supermarket","Even Better","Household","Yucatan","7043572.77"
"Deluxe Supermarket","Even Better","Household","USA","19539909.99"
"Deluxe Supermarket","Even Better","Household","Oregon","7608425.3"
"Deluxe Supermarket","Even Better","Household","Texas","4248369.89"
"Deluxe Supermarket","Even Better","Household","Washington","7683114.8"
"Deluxe Supermarket","Hermanos","Drink","Canada","21557617.33"
"Deluxe Supermarket","Hermanos","Drink","British Columbia","11107298.77"
"Deluxe Supermarket","Hermanos","Drink","Ontario","10450318.56"
"Deluxe Supermarket","Hermanos","Drink","Mexico","12829097.7"
"Deluxe Supermarket","Hermanos","Drink","Sonora","1831083.9"
"Deluxe Supermarket","Hermanos","Drink","Yucatan","10998013.8"
"Deluxe Supermarket","Hermanos","Drink","USA","34415152.33"
"Deluxe Supermarket","Hermanos","Drink","Oregon","13641747.76"
"Deluxe Supermarket","Hermanos","Drink","Texas","8148493.61"
"Deluxe Supermarket","Hermanos","Drink","Washington","12624910.96"
"Deluxe Supermarket","Hermanos","Food","Canada","191246431.31"
"Deluxe Supermarket","Hermanos","Food","British Columbia","92915153.46"
"Deluxe Supermarket","Hermanos","Food","Ontario","98331277.85"
"Deluxe Supermarket","Hermanos","Food","Mexico","114406638.3"
"Deluxe Supermarket","Hermanos","Food","Sonora","18145561.13"
"Deluxe Supermarket","Hermanos","Food","Yucatan","96261077.17"
"Deluxe Supermarket","Hermanos","Food","USA","303708309.93"
"Deluxe Supermarket","Hermanos","Food","Oregon","118085040.43"
"Deluxe Supermarket","Hermanos","Food","Texas","71979969.49"
"Deluxe Supermarket","Hermanos","Food","Washington","113643300.01"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Canada","10682929.43"
"Deluxe Supermarket","Hermanos","Health and Hygiene","British Columbia","5547537.58"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Ontario","5135391.85"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Mexico","6108626.75"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Sonora","455417.36"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Yucatan","5653209.39"
"Deluxe Supermarket","Hermanos","Health and Hygiene","USA","16891484.34"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Oregon","6750337.45"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Texas","4338212.24"
"Deluxe Supermarket","Hermanos","Health and Hygiene","Washington","5802934.65"
"Deluxe Supermarket","Hermanos","Household","Canada","34004189.25"
"Deluxe Supermarket","Hermanos","Household","British Columbia","17093629.84"
"Deluxe Supermarket","Hermanos","Household","Ontario","16910559.41"
"Deluxe Supermarket","Hermanos","Household","Mexico","18824641.8"
"Deluxe Supermarket","Hermanos","Household","Sonora","3207813.71"
"Deluxe Supermarket","Hermanos","Household","Yucatan","15616828.09"
"Deluxe Supermarket","Hermanos","Household","USA","50843307.9"
"Deluxe Supermarket","Hermanos","Household","Oregon","20284329.81"
"Deluxe Supermarket","Hermanos","Household","Texas","10847101.55"
"Deluxe Supermarket","Hermanos","Household","Washington","19711876.54"
"Deluxe Supermarket","Hermanos","Other","Canada","66236603"
"Deluxe Supermarket","Hermanos","Other","British Columbia","33236782"
"Deluxe Supermarket","Hermanos","Other","Ontario","32999821"
"Deluxe Supermarket","Hermanos","Other","Mexico","38053147.7"
"Deluxe Supermarket","Hermanos","Other","Sonora","5688149.62"
"Deluxe Supermarket","Hermanos","Other","Yucatan","32364998.08"
"Deluxe Supermarket","Hermanos","Other","USA","100484090.49"
"Deluxe Supermarket","Hermanos","Other","Oregon","39323249.78"
"Deluxe Supermarket","Hermanos","Other","Texas","24028813.61"
"Deluxe Supermarket","Hermanos","Other","Washington","37132027.1"
"Deluxe Supermarket","Jumbo","Food","Canada","27999978.5"
"Deluxe Supermarket","Jumbo","Food","British Columbia","14102580.58"
"Deluxe Supermarket","Jumbo","Food","Ontario","13897397.92"
"Deluxe Supermarket","Jumbo","Food","Mexico","16211755.86"
"Deluxe Supermarket","Jumbo","Food","Sonora","2355622.06"
"Deluxe Supermarket","Jumbo","Food","Yucatan","13856133.8"
"Deluxe Supermarket","Jumbo","Food","USA","43831561.69"
"Deluxe Supermarket","Jumbo","Food","Oregon","17562774.86"
"Deluxe Supermarket","Jumbo","Food","Texas","10372678.39"
"Deluxe Supermarket","Jumbo","Food","Washington","15896108.44"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Canada","1124374.87"
"Deluxe Supermarket","Jumbo","Health and Hygiene","British Columbia","552874.44"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Ontario","571500.43"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Mexico","786365.63"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Sonora","136737.09"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Yucatan","649628.54"
"Deluxe Supermarket","Jumbo","Health and Hygiene","USA","2357324.29"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Oregon","867362"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Texas","611962.31"
"Deluxe Supermarket","Jumbo","Health and Hygiene","Washington","877999.98"
"Deluxe Supermarket","Jumbo","Household","Canada","3293917.29"
"Deluxe Supermarket","Jumbo","Household","British Columbia","1929078.07"
"Deluxe Supermarket","Jumbo","Household","Ontario","1364839.22"
"Deluxe Supermarket","Jumbo","Household","Mexico","2154479.04"
"Deluxe Supermarket","Jumbo","Household","Sonora","250874.12"
